id,start,end,label,category,region,certainty,uncertainty,source,link
gvp-16685,1861-12-28,1862-10-16,Kie Besi eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=268070
gvp-16692,1920 BC,,Melebingoy eruption (VEI 4),nature,ASIA_SOUTH,approx,40,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=271011
gvp-16693,1380,,Melebingoy eruption (VEI 4),nature,ASIA_SOUTH,approx,75,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=271011
gvp-16694,1640-12-26,1641-01-04,Melebingoy eruption (VEI 5),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=271011
gvp-16794,1897-05-23,1897-07-23,Mayon eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=273030
gvp-16837,1716-09-24,1716-09-27,Taal eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=273070
gvp-16840,1749-08-11,1749-09,Taal eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=273070
gvp-16841,1754-05-15,1754-12-04,Taal eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=273070
gvp-16853,1965-09-28,1965-09-30,Taal eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=273070
gvp-16865,1050 BC,,Pinatubo eruption (VEI 6),nature,ASIA_SOUTH,approx,500,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=273083
gvp-16866,1450,,Pinatubo eruption (VEI 5),nature,ASIA_SOUTH,approx,50,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=273083
gvp-16910,1924-10-31,,Submarine Volcano NNE of Iriomotejima eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282010
gvp-16921,1600,,Suwanosejima eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282030
gvp-16922,1813-07-02,1814-07-02,Suwanosejima eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282030
gvp-16923,1877-07-02,,Suwanosejima eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282030
gvp-16926,1889-10-02,1889-10-13,Suwanosejima eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282030
gvp-16971,1933-12-23,1934-01-12,Kuchinoerabujima eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282050
gvp-17006,2690 BC,,Ata eruption (VEI 5),nature,ASIA_EAST,approx,75,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17007,2010 BC,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17008,1780 BC,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
