id,start,end,label,category,region,certainty,uncertainty,source,link
fichte-1762,1762,1814,Fichte,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
schopenhauer-1788,1788,1860,Schopenhauer,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
marx-1818,1818,1883,Marx,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
d-hring-1833,1833,1921,Dühring,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
dilthey-1833,1833,1911,Dilthey,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
nietzsche-1844,1844,1900,Nietzsche,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
frege-1848,1848,1925,Frege,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
dewey-1859,1859,1952,Dewey,thought,AMERICAS,year,,"English Wikipedia, via rengel-de/5603464",
bergson-1859,1859,1941,Bergson,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
russell-1872,1872,1970,Russell,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
moore-1873,1873,1958,Moore,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
scheler-1874,1874,1928,Scheler,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
schlick-1882,1882,1936,Schlick,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
bloch-1885,1885,1977,Bloch,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
wittgenstein-1889,1889,1951,Wittgenstein,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
ajdukiewicz-1890,1890,1963,Ajdukiewicz,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
ryle-1900,1900,1976,Ryle,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
bochenski-1902,1902,1995,Bochenski,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
popper-1902,1902,1994,Popper,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
jonas-1903,1903,1993,Jonas,thought,AMERICAS,year,,"English Wikipedia, via rengel-de/5603464",
adorno-1903,1903,1969,Adorno,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
quine-1908,1908,2000,Quine,thought,AMERICAS,year,,"English Wikipedia, via rengel-de/5603464",
ayer-1910,1910,1989,Ayer,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
austin-1911,1911,1960,Austin,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
rawls-1921,1921,2002,Rawls,thought,AMERICAS,year,,"English Wikipedia, via rengel-de/5603464",
stegm-ller-1923,1923,1991,Stegmüller,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
rorty-19311004,1931-10-04,2007-06-08,Rorty,thought,AMERICAS,exact,,"English Wikipedia, via rengel-de/5603464",
iliad-760bc,760 BC,,Iliad,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
odyssey-740bc,740 BC,,Odyssey,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
theogony-700bc,700 BC,,Theogony,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
